townName,totalPopulation,numberOfBirths,residentBirths,districtType,perCapitaIncome,townWealth,townWealthRank
NorthHaven,23908,429,199,0,29919,239315.56,121
NorthStonington,5218,104,55,0,25815,189214.57,100
Norwalk,84437,2570,1324,1,31781,276646.2,133
Norwich,36598,1043,486,1,20742,69917.03,10
OldLyme,7488,138,60,0,41386,449688.42,150
OldSaybrook,10512,186,73,0,30720,405034.76,147
Orange,13970,221,95,0,36471,327959.32,140
Oxford,11709,248,135,0,28250,194660.78,103
Plainfield,15443,380,166,2,18706,65265.04,7
Plainville,17382,334,154,0,23257,124024.37,46
Plymouth,12183,271,120,2,23244,92950.28,23
Pomfret,4142,73,47,0,26029,120800.52,44
Portland,9543,215,104,0,28229,154425.11,72
Preston,4867,100,42,2,24752,121419.1,45
Prospect,9234,194,100,0,26827,149697.25,69
Putnam,9288,193,92,1,20597,84892.62,18
Redding,8646,198,78,0,50687,539935.27,155
Ridgefield,24210,552,248,0,51795,523863.23,154
RockyHill,18760,389,197,0,29701,202701.98,106
Roxbury,2327,38,15,0,56769,935087.8,165
Salem,4094,86,44,0,27288,148488.85,67
Salisbury,4083,53,24,0,38752,653276.33,160
Scotland,1699,29,20,2,22573,96570.45,28
Seymour,16144,351,167,2,24056,129178.35,55
Sharon,3052,45,19,0,45418,615887.23,158
Shelton,39477,811,348,2,29893,271634.82,129
Sherman,4129,61,28,0,39070,403842.28,146
Simsbury,23656,460,196,0,39710,206512.04,110
Somers,10877,148,98,0,23952,124894.01,49
SouthWindsor,25985,702,211,0,30966,163692.01,80
Southbury,19677,390,130,0,32545,228963.18,118
Southington,42077,599,425,0,26370,155130.46,74
Sprague,2992,62,36,2,20796,95626.26,27
Stafford,11857,244,132,2,22017,95453.95,26
Stamford,120045,3661,1809,1,34987,444599.34,149
Sterling,3519,85,45,0,19679,80885.18,14
Stonington,18336,305,147,0,29653,277716.9,134
Stratford,49943,1158,549,2,26501,161095.56,78
Suffield,14704,226,114,0,28171,147962.13,66
Thomaston,7938,174,85,2,24799,114030.54,37
Thompson,9345,162,104,2,21003,92635.88,22
Tolland,14571,328,144,0,29892,131840.2,59
Torrington,35995,758,402,2,21406,86805.92,20
Trumbull,35299,799,351,0,34931,291004.74,136
Union,744,21,7,0,27900,198145.67,104
Vernon,29491,693,384,2,25150,109074.28,35
Voluntown,2631,54,23,2,23707,116754.57,41
Wallingford,44736,974,482,0,25947,168216.26,86
Warren,1361,14,17,0,36801,459094.76,152
Washington,3693,72,26,0,37215,735057.23,162
Waterbury,107902,3272,1647,1,17701,39677.97,3
Waterford,18940,369,166,0,26807,255871.38,124
Watertown,22330,418,196,0,26044,148834.8,68
WestHartford,61173,758,692,2,33468,191344.53,101
WestHaven,52923,1418,737,1,21121,82531.64,17
Westbrook,6599,746,58,0,28680,334801.72,142
Weston,10276,170,105,0,74817,811273.47,164
Westport,26615,606,265,0,73664,1211245.06,166
Wethersfield,26220,523,245,0,28930,159262.58,75
Willington,6216,109,45,0,27062,127547.66,54
Wilton,17960,433,178,0,65806,774828.99,163
Winchester,10857,254,104,2,22589,98442.76,30
Windham,23503,689,317,1,16978,41241.61,4
Windsor,28778,612,318,2,27633,165401.99,82
WindsorLocks,12411,228,114,0,23079,145702.62,64
Wolcott,16228,299,133,2,25018,106961.05,32
Woodbridge,9264,131,54,0,49049,375713.88,145
Woodbury,9734,199,75,0,37903,278880.96,135
Woodstock,8047,140,64,2,25331,130269.61,57
